gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라29ab69ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.393,2022,202210,"MULTIPOLYGON (((929250 1669500, 929250 1669750, 929500 1669750, 929500 1669500, 929250 1669500)))",종합병원
다라29ab68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.465,2022,202210,"MULTIPOLYGON (((929250 1668500, 929250 1668750, 929500 1668750, 929500 1668500, 929250 1668500)))",종합병원
다라30aa69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.019,2022,202210,"MULTIPOLYGON (((930000 1669250, 930000 1669500, 930250 1669500, 930250 1669250, 930000 1669250)))",종합병원
다라29bb69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.873,2022,202210,"MULTIPOLYGON (((929750 1669250, 929750 1669500, 930000 1669500, 930000 1669250, 929750 1669250)))",종합병원
다라30aa68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.996,2022,202210,"MULTIPOLYGON (((930000 1668500, 930000 1668750, 930250 1668750, 930250 1668500, 930000 1668500)))",종합병원
다라29bb68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.496,2022,202210,"MULTIPOLYGON (((929750 1668750, 929750 1669000, 930000 1669000, 930000 1668750, 929750 1668750)))",종합병원
다라29ab69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.968,2022,202210,"MULTIPOLYGON (((929250 1669000, 929250 1669250, 929500 1669250, 929500 1669000, 929250 1669000)))",종합병원
다라29aa69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.647,2022,202210,"MULTIPOLYGON (((929000 1669250, 929000 1669500, 929250 1669500, 929250 1669250, 929000 1669250)))",종합병원
다라28ba69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.519,2022,202210,"MULTIPOLYGON (((928500 1669250, 928500 1669500, 928750 1669500, 928750 1669250, 928500 1669250)))",종합병원
다라28ba69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.309,2022,202210,"MULTIPOLYGON (((928500 1669500, 928500 1669750, 928750 1669750, 928750 1669500, 928500 1669500)))",종합병원
다라28aa70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.36,2022,202210,"MULTIPOLYGON (((928000 1670000, 928000 1670250, 928250 1670250, 928250 1670000, 928000 1670000)))",종합병원
다라28bb70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.504,2022,202210,"MULTIPOLYGON (((928750 1670250, 928750 1670500, 929000 1670500, 929000 1670250, 928750 1670250)))",종합병원
다라28ba69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.168,2022,202210,"MULTIPOLYGON (((928500 1669750, 928500 1670000, 928750 1670000, 928750 1669750, 928500 1669750)))",종합병원
다라28bb69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.426,2022,202210,"MULTIPOLYGON (((928750 1669500, 928750 1669750, 929000 1669750, 929000 1669500, 928750 1669500)))",종합병원
