gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라30ab69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.828,2022,202210,"MULTIPOLYGON (((930250 1669000, 930250 1669250, 930500 1669250, 930500 1669000, 930250 1669000)))",도서관
다라30aa68bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.807,2022,202210,"MULTIPOLYGON (((930000 1668750, 930000 1669000, 930250 1669000, 930250 1668750, 930000 1668750)))",도서관
다라29ba69bb,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.169,2022,202210,"MULTIPOLYGON (((929500 1669750, 929500 1670000, 929750 1670000, 929750 1669750, 929500 1669750)))",도서관
다라29bb68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.3,2022,202210,"MULTIPOLYGON (((929750 1668500, 929750 1668750, 930000 1668750, 930000 1668500, 929750 1668500)))",도서관
다라30ab68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.451,2022,202210,"MULTIPOLYGON (((930250 1668250, 930250 1668500, 930500 1668500, 930500 1668250, 930250 1668250)))",도서관
다라29ba69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.002,2022,202210,"MULTIPOLYGON (((929500 1669250, 929500 1669500, 929750 1669500, 929750 1669250, 929500 1669250)))",도서관
다라29ab69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.444,2022,202210,"MULTIPOLYGON (((929250 1669250, 929250 1669500, 929500 1669500, 929500 1669250, 929250 1669250)))",도서관
다라28bb70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.027,2022,202210,"MULTIPOLYGON (((928750 1670250, 928750 1670500, 929000 1670500, 929000 1670250, 928750 1670250)))",도서관
다라28bb70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.266,2022,202210,"MULTIPOLYGON (((928750 1670000, 928750 1670250, 929000 1670250, 929000 1670000, 928750 1670000)))",도서관
다라28bb69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.13,2022,202210,"MULTIPOLYGON (((928750 1669750, 928750 1670000, 929000 1670000, 929000 1669750, 928750 1669750)))",도서관
다라28aa69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.426,2022,202210,"MULTIPOLYGON (((928000 1669250, 928000 1669500, 928250 1669500, 928250 1669250, 928000 1669250)))",도서관
다라27bb68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.15,2022,202210,"MULTIPOLYGON (((927750 1668750, 927750 1669000, 928000 1669000, 928000 1668750, 927750 1668750)))",도서관
다라27bb69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.487,2022,202210,"MULTIPOLYGON (((927750 1669000, 927750 1669250, 928000 1669250, 928000 1669000, 927750 1669000)))",도서관
다라28ab68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.858,2022,202210,"MULTIPOLYGON (((928250 1668750, 928250 1669000, 928500 1669000, 928500 1668750, 928250 1668750)))",도서관
다라28ab69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.415,2022,202210,"MULTIPOLYGON (((928250 1669000, 928250 1669250, 928500 1669250, 928500 1669000, 928250 1669000)))",도서관
다라29aa69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.321,2022,202210,"MULTIPOLYGON (((929000 1669750, 929000 1670000, 929250 1670000, 929250 1669750, 929000 1669750)))",도서관
