gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,geometry,구분
다라30ab69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.148,2022,202210,"MULTIPOLYGON (((930250 1669250, 930250 1669500, 930500 1669500, 930500 1669250, 930250 1669250)))",생활권공원
다라29bb69aa,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.165,2022,202210,"MULTIPOLYGON (((929750 1669000, 929750 1669250, 930000 1669250, 930000 1669000, 929750 1669000)))",생활권공원
다라29bb69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.912,2022,202210,"MULTIPOLYGON (((929750 1669250, 929750 1669500, 930000 1669500, 930000 1669250, 929750 1669250)))",생활권공원
다라29ba68ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,3.412,2022,202210,"MULTIPOLYGON (((929500 1668250, 929500 1668500, 929750 1668500, 929750 1668250, 929500 1668250)))",생활권공원
다라29bb69ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.721,2022,202210,"MULTIPOLYGON (((929750 1669500, 929750 1669750, 930000 1669750, 930000 1669500, 929750 1669500)))",생활권공원
다라30aa68ba,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,2.484,2022,202210,"MULTIPOLYGON (((930000 1668500, 930000 1668750, 930250 1668750, 930250 1668500, 930000 1668500)))",생활권공원
다라29ab69ab,46170101,토계동,Togye-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.197,2022,202210,"MULTIPOLYGON (((929250 1669250, 929250 1669500, 929500 1669500, 929500 1669250, 929250 1669250)))",생활권공원
다라28bb70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.114,2022,202210,"MULTIPOLYGON (((928750 1670000, 928750 1670250, 929000 1670250, 929000 1670000, 928750 1670000)))",생활권공원
다라28bb69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.439,2022,202210,"MULTIPOLYGON (((928750 1669750, 928750 1670000, 929000 1670000, 929000 1669750, 928750 1669750)))",생활권공원
다라28aa69ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.834,2022,202210,"MULTIPOLYGON (((928000 1669250, 928000 1669500, 928250 1669500, 928250 1669250, 928000 1669250)))",생활권공원
다라28bb70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.968,2022,202210,"MULTIPOLYGON (((928750 1670250, 928750 1670500, 929000 1670500, 929000 1670250, 928750 1670250)))",생활권공원
다라27bb68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.479,2022,202210,"MULTIPOLYGON (((927750 1668750, 927750 1669000, 928000 1669000, 928000 1668750, 927750 1668750)))",생활권공원
다라28ba70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.726,2022,202210,"MULTIPOLYGON (((928500 1670250, 928500 1670500, 928750 1670500, 928750 1670250, 928500 1670250)))",생활권공원
다라28aa70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.167,2022,202210,"MULTIPOLYGON (((928000 1670000, 928000 1670250, 928250 1670250, 928250 1670000, 928000 1670000)))",생활권공원
다라28ba69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.22,2022,202210,"MULTIPOLYGON (((928500 1669500, 928500 1669750, 928750 1669750, 928750 1669500, 928500 1669500)))",생활권공원
다라28ab68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.606,2022,202210,"MULTIPOLYGON (((928250 1668750, 928250 1669000, 928500 1669000, 928500 1668750, 928250 1668750)))",생활권공원
다라28ab69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.768,2022,202210,"MULTIPOLYGON (((928250 1669000, 928250 1669250, 928500 1669250, 928500 1669000, 928250 1669000)))",생활권공원
다라27bb69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.741,2022,202210,"MULTIPOLYGON (((927750 1669000, 927750 1669250, 928000 1669250, 928000 1669000, 927750 1669000)))",생활권공원
다라28aa70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.827,2022,202210,"MULTIPOLYGON (((928000 1670250, 928000 1670500, 928250 1670500, 928250 1670250, 928000 1670250)))",생활권공원
다라28ba70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.54,2022,202210,"MULTIPOLYGON (((928500 1670000, 928500 1670250, 928750 1670250, 928750 1670000, 928500 1670000)))",생활권공원
다라29aa69ba,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.971,2022,202210,"MULTIPOLYGON (((929000 1669500, 929000 1669750, 929250 1669750, 929250 1669500, 929000 1669500)))",생활권공원
다라27ba69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.971,2022,202210,"MULTIPOLYGON (((927500 1669000, 927500 1669250, 927750 1669250, 927750 1669000, 927500 1669000)))",생활권공원
다라28bb69aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.532,2022,202210,"MULTIPOLYGON (((928750 1669000, 928750 1669250, 929000 1669250, 929000 1669000, 928750 1669000)))",생활권공원
다라28ab70ab,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.511,2022,202210,"MULTIPOLYGON (((928250 1670250, 928250 1670500, 928500 1670500, 928500 1670250, 928250 1670250)))",생활권공원
다라29aa68bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.496,2022,202210,"MULTIPOLYGON (((929000 1668750, 929000 1669000, 929250 1669000, 929250 1668750, 929000 1668750)))",생활권공원
다라28ab69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,0.188,2022,202210,"MULTIPOLYGON (((928250 1669750, 928250 1670000, 928500 1670000, 928500 1669750, 928250 1669750)))",생활권공원
다라29aa70aa,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.272,2022,202210,"MULTIPOLYGON (((929000 1670000, 929000 1670250, 929250 1670250, 929250 1670000, 929000 1670000)))",생활권공원
다라29aa69bb,46170102,송월동,Songwol-dong,46170,나주시,Naju-si,46,전라남도,Jellanam-do,1.354,2022,202210,"MULTIPOLYGON (((929000 1669750, 929000 1670000, 929250 1670000, 929250 1669750, 929000 1669750)))",생활권공원
