충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 10월 충전횟수,2023년 10월 충전량,2023년 11월 충전횟수,2023년 11월 충전량,2023년 12월 충전횟수,2023년 12월 충전량,2024년 1월 충전횟수,2024년 1월 충전량
용산 전쟁기념관(메가스테이션) 소형 주차장,서울특별시 용산구 이태원로 29 소형 주차장,교육문화시설,관람장,ME22M301,84,DC콤보,초급속(350kW단독),단독,사용가능,2024-02-06 10:01,2024-02-04 1:44,2024-02-04 2:11,,32,906.83,51,1195.48,3,39.66,18,483.91
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,1,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:00,2024-01-26 13:20,2024-01-26 14:01,,3,26.38,1,0.4,1,14.13,2,38.28
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,2,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:15,2024-02-03 20:30,2024-02-03 21:22,,0,0.0,1,0.37,0,0.0,0,0.0
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,3,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-08 17:38,2024-01-08 17:40,,0,0.0,0,0.0,0,0.0,2,1.35
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,4,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2023-11-17 14:14,2023-11-17 14:21,,0,0.0,2,3.48,0,0.0,0,0.0
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,5,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-02-04 12:02,2024-02-04 12:42,,2,30.38,2,15.74,4,56.46,4,70.76
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,6,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 9:50,2024-01-13 10:10,2024-01-13 10:50,,2,29.55,2,19.72,0,0.0,3,39.47
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,7,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2023-11-05 12:54,2023-11-05 13:35,,1,17.96,2,16.9,0,0.0,0,0.0
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,8,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2023-11-03 15:23,2023-11-03 15:24,,0,0.0,1,0.37,0,0.0,0,0.0
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,9,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-26 11:23,2024-01-26 12:03,,0,0.0,1,0.16,0,0.0,2,37.09
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,10,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2023-11-24 13:17,2023-11-24 13:57,,1,1.38,2,19.91,0,0.0,0,0.0
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,11,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-20 14:13,2024-01-20 14:39,,2,25.3,1,0.35,0,0.0,1,12.6
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,12,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-09 11:00,2024-01-09 11:40,,0,0.0,1,0.37,0,0.0,1,19.38
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,13,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-15 13:51,2024-01-15 14:32,,1,17.47,1,0.36,0,0.0,2,33.59
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,14,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-02-03 14:43,2024-02-03 15:23,,0,0.0,1,0.37,0,0.0,3,30.68
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,15,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2023-11-03 16:52,2023-11-03 16:53,,1,19.63,1,0.36,0,0.0,0,0.0
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,16,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-13 14:25,2024-01-13 14:55,,1,19.56,1,0.35,0,0.0,1,5.78
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,17,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-01-25 12:42,2024-01-25 13:09,,0,0.0,5,47.58,0,0.0,3,38.57
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,18,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2024-02-03 14:07,2024-02-03 14:47,,1,10.89,2,2.58,1,6.47,0,0.0
용산 전쟁기념관(메가스테이션) 지하 주차장,서울특별시 용산구 이태원로 29 지하주차장 B2,교육문화시설,관람장,ME22M302,19,DC콤보(완속),완속(30kW단독),단독,사용가능,2024-02-06 10:14,2023-12-31 14:49,2023-12-31 15:01,,1,19.27,1,0.33,1,5.8,0,0.0
